<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;share_price;<VOL>
PLZL;D;20200513;0;12002.0000000;12390.0000000;11934.0000000;12295.0000000;245066
PLZL;D;20200514;0;12388.0000000;12490.0000000;12100.0000000;12350.0000000;143351
PLZL;D;20200515;0;12384.0000000;12444.5000000;12160.0000000;12306.0000000;124169
PLZL;D;20200518;0;12390.0000000;12738.0000000;12090.0000000;12257.0000000;264708
PLZL;D;20200519;0;12127.0000000;12257.0000000;11971.0000000;12110.0000000;202774
PLZL;D;20200520;0;12161.5000000;12269.5000000;11980.0000000;12073.5000000;183528
PLZL;D;20200521;0;11978.5000000;12044.0000000;11754.5000000;11925.0000000;137359
PLZL;D;20200522;0;12005.0000000;12088.5000000;11755.0000000;11814.5000000;136210
PLZL;D;20200525;0;11759.0000000;11982.0000000;11750.5000000;11975.0000000;59183
PLZL;D;20200526;0;12000.0000000;12000.0000000;11628.0000000;11628.0000000;147612
PLZL;D;20200527;0;11600.0000000;11620.0000000;11020.0000000;11262.5000000;302714
PLZL;D;20200528;0;11353.0000000;11424.5000000;11201.5000000;11340.0000000;189064
PLZL;D;20200529;0;11347.0000000;11701.0000000;11268.0000000;11673.0000000;655586
PLZL;D;20200601;0;11640.0000000;11686.5000000;11159.0000000;11400.0000000;171680
PLZL;D;20200602;0;11360.0000000;11426.0000000;11032.0000000;11142.0000000;212884
PLZL;D;20200603;0;11010.5000000;11029.0000000;10400.0000000;10567.0000000;422095
PLZL;D;20200604;0;10500.0000000;11036.0000000;10450.5000000;10688.5000000;395200
PLZL;D;20200605;0;10619.0000000;10620.5000000;10150.5000000;10246.0000000;311303
PLZL;D;20200608;0;10280.0000000;10302.5000000;9952.0000000;10149.0000000;330359
PLZL;D;20200609;0;10149.0000000;10680.0000000;10075.0000000;10465.0000000;363920
PLZL;D;20200610;0;10504.5000000;10790.0000000;10456.0000000;10589.5000000;267957
PLZL;D;20200611;0;10801.0000000;10970.0000000;10616.0000000;10888.0000000;337327
PLZL;D;20200615;0;10888.5000000;10893.0000000;10315.0000000;10520.0000000;249376
PLZL;D;20200616;0;10501.0000000;10642.5000000;10345.0000000;10345.0000000;178974
PLZL;D;20200617;0;10399.5000000;10749.5000000;10395.0000000;10742.0000000;247843
PLZL;D;20200618;0;10753.0000000;10915.0000000;10670.0000000;10850.0000000;218649
PLZL;D;20200619;0;10873.0000000;11193.5000000;10802.0000000;11067.5000000;359365
PLZL;D;20200622;0;11167.5000000;11478.0000000;11095.5000000;11336.5000000;257072
PLZL;D;20200623;0;11327.0000000;11640.5000000;11234.0000000;11583.5000000;199806
PLZL;D;20200625;0;11550.0000000;11792.5000000;11508.5000000;11673.0000000;246993
PLZL;D;20200626;0;11690.0000000;11835.0000000;11628.0000000;11738.5000000;142146
PLZL;D;20200629;0;11740.0000000;12010.0000000;11718.0000000;11890.0000000;218926
PLZL;D;20200630;0;11900.0000000;12072.0000000;11851.0000000;11970.0000000;172893
PLZL;D;20200702;0;11940.0000000;12000.0000000;11780.0000000;11974.0000000;207771
PLZL;D;20200703;0;11970.0000000;12284.0000000;11933.5000000;12220.0000000;170522
PLZL;D;20200706;0;12223.5000000;12600.0000000;12125.0000000;12491.0000000;209270
PLZL;D;20200707;0;12470.0000000;12722.0000000;12453.0000000;12707.0000000;174700
PLZL;D;20200708;0;12710.0000000;12961.0000000;12556.0000000;12914.0000000;236545
PLZL;D;20200709;0;12950.0000000;13394.0000000;12921.0000000;13280.0000000;327063
PLZL;D;20200710;0;13240.5000000;13729.5000000;13056.0000000;13170.5000000;328950
PLZL;D;20200713;0;13266.0000000;13373.5000000;12765.0000000;12852.0000000;211115
PLZL;D;20200714;0;12880.0000000;12930.0000000;12366.0000000;12819.5000000;264602
PLZL;D;20200715;0;12840.0000000;13320.0000000;12825.5000000;13270.0000000;250004
PLZL;D;20200716;0;13222.5000000;13536.0000000;12940.0000000;13168.0000000;318394
PLZL;D;20200717;0;13150.0000000;13320.0000000;13105.5000000;13225.0000000;139847
PLZL;D;20200720;0;13242.0000000;13426.0000000;13121.5000000;13342.0000000;144342
PLZL;D;20200721;0;13401.0000000;13629.5000000;13251.0000000;13484.5000000;151627
PLZL;D;20200722;0;13554.0000000;13944.0000000;13503.5000000;13920.0000000;188127
PLZL;D;20200723;0;13973.0000000;14600.0000000;13921.0000000;14498.0000000;294969
PLZL;D;20200724;0;14533.5000000;15274.5000000;14452.0000000;15265.0000000;340788
PLZL;D;20200727;0;15570.0000000;17490.0000000;15477.0000000;17248.0000000;619066
PLZL;D;20200728;0;17096.5000000;17097.5000000;16028.0000000;16580.0000000;562893
PLZL;D;20200729;0;16689.0000000;17094.5000000;16215.0000000;16650.0000000;392922
PLZL;D;20200730;0;16365.0000000;16430.0000000;16075.0000000;16240.0000000;221770
PLZL;D;20200731;0;16582.5000000;17079.5000000;16466.0000000;16949.0000000;368406
PLZL;D;20200803;0;17027.0000000;17185.0000000;16720.0000000;16850.0000000;187902
PLZL;D;20200804;0;16831.5000000;17420.0000000;16707.5000000;17380.5000000;229153
PLZL;D;20200805;0;17455.0000000;18500.0000000;17450.5000000;18169.5000000;497553
